gene_id	degree	weakly_connected	gene_name_lnctard	gene_name_corrected	gene_type_lnctard	gene_type_corrected
ENSG00000272168	20	True	CASC15	CASC15	lncRNA	lncRNA
ENSG00000150907	20	True	FOXO1	FOXO1	transcription_factor	transcription_factor
ENSG00000237298	20	True	TTN-AS1	TTN-AS1	lncRNA	lncRNA
NCBI100642175	20	True	SPRY4-IT1	SPRY4-IT1	lncRNA	lncRNA
ENSG00000242808	20	True	SOX2-OT	SOX2-OT	lncRNA	lncRNA
ENSG00000112541	20	True	LINC00473	LINC00473	lncRNA	lncRNA
ENSG00000189403	20	True	HMGB1	HMGB1	transcription_factor	transcription_factor
ENSG00000067900	20	True	ROCK1	ROCK1	protein_coding	protein_coding
ENSG00000230316	19	True	FEZF1-AS1	FEZF1-AS1	lncRNA	lncRNA
ENSG00000135679	19	True	MDM2	MDM2	protein_coding	protein_coding
ENSG00000271672	19	True	DUXAP8	DUXAP8	lncRNA	transcribed_processed_pseudogene
NCBI114004396	19	True	LNCRNA-ATB	LNCRNA-ATB	lncRNA	lncRNA
ENSG00000164305	18	True	CASP3	CASP3	protein_coding	protein_coding
ENSG00000135446	18	True	CDK4	CDK4	protein_coding	protein_coding
ENSG00000170558	18	True	CDH2	CDH2	protein_coding	protein_coding
ENSG00000228223	18	True	HCG11	HCG11	lncRNA	lncRNA
ENSG00000224259	18	True	LINC01133	LINC01133	lncRNA	lncRNA
ENSG00000109320	18	True	NFKB1	NFKB1	transcription_factor	transcription_factor
ENSG00000232810	18	True	TNF	TNF	protein_coding	protein_coding
ENSG00000130816	17	True	DNMT1	DNMT1	protein_coding	protein_coding
ENSG00000163364	17	True	LINC01116	LINC01116	lncRNA	lncRNA
ENSG00000277027	17	True	RMRP	RMRP	lncRNA	lncRNA
ENSG00000259974	17	True	LINC00261	LINC00261	lncRNA	lncRNA
ENSG00000249395	17	True	CASC9	CASC9	lncRNA	lncRNA
ENSG00000125398	17	True	SOX9	SOX9	transcription_factor	transcription_factor
ENSG00000227036	16	True	LINC00673	LINC00511	lncRNA	lncRNA
ENSG00000085563	16	True	ABCB1	ABCB1	protein_coding	protein_coding
ENSG00000152931	16	True	PART1	PART1	lncRNA	lncRNA
ENSG00000248092	16	True	NNT-AS1	NNT-AS1	lncRNA	lncRNA
ENSG00000281406	16	True	BLACAT1	BLACAT1	lncRNA	protein_coding
ENSG00000136869	16	True	TLR4	TLR4	protein_coding	protein_coding
ENSG00000237125	16	True	HAND2-AS1	HAND2-AS1	lncRNA	lncRNA
ENSG00000065978	16	True	YBX1	YBX1	transcription_factor	transcription_factor
ENSG00000175387	16	True	SMAD2	SMAD2	transcription_factor	transcription_factor
ENSG00000111276	16	True	CDKN1B	CDKN1B	protein_coding	protein_coding
ENSG00000267100	16	True	ILF3-DT	ILF3-DT	lncRNA	lncRNA
ENSG00000237517	15	True	DGCR5	DGCR5	lncRNA	lncRNA
ENSG00000243479	15	True	MNX1-AS1	MNX1-AS1	lncRNA	lncRNA
ENSG00000166949	15	True	SMAD3	SMAD3	transcription_factor	transcription_factor
ENSG00000261824	15	True	LINC00662	LINC00662	lncRNA	lncRNA
ENSG00000170558	15	True	N-cadherin	CDH2	protein_coding	protein_coding
ENSG00000129514	15	True	FOXA1	FOXA1	transcription_factor	transcription_factor
ENSG00000172965	15	True	MIR4435-2HG	MIR4435-2HG	lncRNA	lncRNA
ENSG00000231607	15	True	DLEU2	DLEU2	lncRNA	lncRNA
ENSG00000164305	15	True	Caspase3	CASP3	protein_coding	protein_coding
ENSG00000228288	15	True	PCAT6	PCAT6	lncRNA	lncRNA
ENSG00000281450	15	True	PANDAR	PANDAR	lncRNA	lncRNA
ENSG00000225210	14	True	DUXAP9	DUXAP9	lncRNA	transcribed_processed_pseudogene
ENSG00000186594	14	True	MIR22HG	MIR22HG	lncRNA	lncRNA
ENSG00000242265	14	True	PEG10	PEG10	protein_coding	protein_coding
ENSG00000255248	14	True	MIR100HG	MIR100HG	lncRNA	lncRNA
ENSG00000196756	14	True	SNHG17	SNHG17	lncRNA	lncRNA
ENSG00000226363	14	True	HAGLROS	HAGLROS	lncRNA	lncRNA
ENSG00000243197	14	True	TUSC7	TUSC7	lncRNA	lncRNA
ENSG00000233901	14	True	LINC01503	LINC01503	lncRNA	lncRNA
ENSG00000169083	14	True	AR	AR	transcription_factor	transcription_factor
ENSG00000233387	14	True	IATPR	IATPR	lncRNA	lncRNA
ENSG00000170312	14	True	CDK1	CDK1	protein_coding	protein_coding
ENSG00000067225	14	True	PKM	PKM	protein_coding	protein_coding
ENSG00000140443	14	True	IGF1R	IGF1R	protein_coding	protein_coding
ENSG00000019549	13	True	SNAI2	SNAI2	transcription_factor	transcription_factor
ENSG00000153363	13	True	LINC00467	LINC00467	lncRNA	lncRNA
ENSG00000233911	13	True	POU5F1	POU5F1	transcription_factor	transcription_factor
ENSG00000225756	13	True	DBH-AS1	DBH-AS1	lncRNA	lncRNA
ENSG00000004487	13	True	KDM1A	KDM1A	protein_coding	protein_coding
ENSG00000233429	13	True	HOTAIRM1	HOTAIRM1	lncRNA	lncRNA
ENSG00000204531	13	True	POU5F1	POU5F1	transcription_factor	transcription_factor
ENSG00000150593	13	True	PDCD4	PDCD4	protein_coding	protein_coding
ENSG00000257167	13	True	TMPO-AS1	TMPO-AS1	lncRNA	lncRNA
ENSG00000262117	13	True	BCAR4	BCAR4	lncRNA	lncRNA
ENSG00000233893	13	True	EZR-AS1	EZR-AS1	lncRNA	lncRNA
ENSG00000112242	13	True	E2F3	E2F3	transcription_factor	transcription_factor
ENSG00000249375	13	True	CASC11	CASC11	lncRNA	lncRNA
ENSG00000105976	13	True	MET	MET	protein_coding	protein_coding
ENSG00000171608	12	True	PI3K	PIK3CD	protein_coding	protein_coding
ENSG00000284357	12	True	miR-34a	MIR34A	miRNA	miRNA
ENSG00000121966	12	True	CXCR4	CXCR4	protein_coding	protein_coding
ENSG00000133703	12	True	KRAS	KRAS	protein_coding	protein_coding
ENSG00000234456	12	True	MAGI2-AS3	MAGI2-AS3	lncRNA	lncRNA
ENSG00000118971	12	True	CCND2	CCND2	protein_coding	protein_coding
ENSG00000265933	12	True	LINC00668	LINC00668	lncRNA	lncRNA
ENSG00000285972	12	True	CERNA2	CERNA2	lncRNA	lncRNA
ENSG00000168283	12	True	BMI1	BMI1	protein_coding	protein_coding
ENSG00000102882	12	True	MAPK3	MAPK3	protein_coding	protein_coding
ENSG00000258667	12	True	HIF1A-AS2	HIF1A-AS3	lncRNA	lncRNA
ENSG00000132646	12	True	PCNA	PCNA	protein_coding	protein_coding
ENSG00000188660	12	True	LINC00319	LINC00319	lncRNA	lncRNA
ENSG00000230590	12	True	FTX	FTX	lncRNA	lncRNA
ENSG00000167244	12	True	IGF2	IGF2	protein_coding	protein_coding
ENSG00000223749	11	True	MIR503HG	MIR503HG	lncRNA	lncRNA
ENSG00000281560	11	True	LSINCT5	LSINCT5	lncRNA	lncRNA
ENSG00000178691	11	True	SUZ12	SUZ12	protein_coding	protein_coding
ENSG00000260852	11	True	FBXL19-AS1	FBXL19-AS1	lncRNA	lncRNA
ENSG00000266835	11	True	GAPLINC	GAPLINC	lncRNA	lncRNA
ENSG00000281398	11	True	SNHG4	SNHG4	lncRNA	lncRNA
ENSG00000281189	11	True	GHET1	GHET1	lncRNA	lncRNA
ENSG00000251381	11	True	LINC00958	LINC00958	lncRNA	lncRNA
ENSG00000204091	11	True	TDRG1	TDRG1	lncRNA	lncRNA
ENSG00000147883	11	True	CDKN2B	CDKN2B	protein_coding	protein_coding
ENSG00000150457	11	True	LATS2	LATS2	protein_coding	protein_coding
ENSG00000229404	11	True	LINC00858	LINC00858	lncRNA	lncRNA
ENSG00000057663	11	True	ATG5	ATG5	protein_coding	protein_coding
ENSG00000120217	11	True	CD274	CD274	protein_coding	protein_coding
ENSG00000283844	11	True	miR-214	MIR214	miRNA	miRNA
ENSG00000026025	11	True	vimentin	VIM	protein_coding	protein_coding
ENSG00000228126	11	True	FALEC	FALEC	lncRNA	lncRNA
ENSG00000149968	11	True	MMP3	MMP3	protein_coding	protein_coding
ENSG00000232677	11	True	LINC00665	LINC00665	lncRNA	lncRNA
ENSG00000096968	11	True	JAK2	JAK2	protein_coding	protein_coding
ENSG00000230798	11	True	FOXD3-AS1	FOXD3-AS1	lncRNA	lncRNA
ENSG00000102554	11	True	KLF5	KLF5	transcription_factor	transcription_factor
ENSG00000246273	11	True	SBF2-AS1	SBF2-AS1	lncRNA	lncRNA
ENSG00000137309	10	True	HMGA1	HMGA1	transcription_factor	transcription_factor
ENSG00000236824	10	True	BCYRN1	BCYRN1	lncRNA	lncRNA
ENSG00000255986	10	True	MT1JP	MT1JP	lncRNA	transcribed_unprocessed_pseudogene
ENSG00000282977	10	True	PCBP2-OT1	PCBP2-OT1	lncRNA	lncRNA
ENSG00000238057	10	True	ZEB2-AS1	ZEB2-AS1	lncRNA	lncRNA
ENSG00000237984	10	True	PTENP1	PTENP1	lncRNA	transcribed_processed_pseudogene
ENSG00000147889	10	True	CDKN2A	CDKN2A	protein_coding	protein_coding
ENSG00000245526	10	True	LINC00461	LINC00461	lncRNA	lncRNA
ENSG00000171889	10	True	MIR31HG	MIR31HG	lncRNA	lncRNA
ENSG00000103222	10	True	ABCC1	ABCC1	protein_coding	protein_coding
ENSG00000182718	10	True	ANXA2	ANXA2	protein_coding	protein_coding
ENSG00000225470	10	True	JPX	JPX	lncRNA	lncRNA
ENSG00000260455	10	True	NBAT1	NBAT1	lncRNA	lncRNA
ENSG00000233639	10	True	PANTR1	PANTR1	lncRNA	lncRNA
ENSG00000159399	10	True	HK2	HK2	protein_coding	protein_coding
ENSG00000215424	10	True	MCM3AP-AS1	MCM3AP-AS1	lncRNA	lncRNA
ENSG00000236289	10	True	GACAT3	GACAT3	lncRNA	lncRNA
ENSG00000229807	10	True	XIC	XIST	lncRNA	lncRNA
ENSG00000241684	10	True	ADAMTS9-AS2	ADAMTS9-AS2	lncRNA	lncRNA
ENSG00000198496	10	True	NBR2	NBR2	lncRNA	lncRNA
ENSG00000082701	10	True	GSK3B	GSK3B	protein_coding	protein_coding
ENSG00000134250	10	True	NOTCH2	NOTCH2	protein_coding	protein_coding
ENSG00000280634	10	True	THRIL	THRIL	lncRNA	lncRNA
ENSG00000171552	10	True	BCL2L1	BCL2L1	protein_coding	protein_coding
ENSG00000207708	9	True	miR-141	MIR141	miRNA	miRNA
ENSG00000233086	9	True	LNCARSR	LNCARSR	lncRNA	lncRNA
ENSG00000278970	9	True	HEIH	HEIH	lncRNA	lncRNA
ENSG00000143799	9	True	PARP1	PARP1	protein_coding	protein_coding
ENSG00000233086	9	True	LNCARSR	LNCARSR	lncRNA	lncRNA
ENSG00000058091	9	True	CDK14	CDK14	protein_coding	protein_coding
ENSG00000203499	9	True	IQANK1	IQANK1	lncRNA	protein_coding
ENSG00000232021	9	True	LEF1-AS1	LEF1-AS1	lncRNA	lncRNA
ENSG00000225937	9	True	PCA3	PCA3	lncRNA	lncRNA
ENSG00000143321	9	True	HDGF	HDGF	protein_coding	protein_coding
ENSG00000105173	9	True	CCNE1	CCNE1	protein_coding	protein_coding
ENSG00000141736	9	True	ERBB2	ERBB2	protein_coding	protein_coding
ENSG00000233237	9	True	LINC00472	LINC00472	lncRNA	lncRNA
ENSG00000129757	9	True	CDKN1C	CDKN1C	protein_coding	protein_coding
ENSG00000005007	9	True	UPF1	UPF1	protein_coding	protein_coding
ENSG00000244306	9	True	DUXAP10	DUXAP10	lncRNA	transcribed_processed_pseudogene
ENSG00000245573	9	True	BDNF-AS	BDNF-AS	lncRNA	lncRNA
ENSG00000157227	9	True	MMP14	MMP14	protein_coding	protein_coding
ENSG00000269893	9	True	SNHG8	SNHG8	lncRNA	lncRNA
ENSG00000101665	9	True	SMAD7	SMAD7	transcription_factor	transcription_factor
ENSG00000207568	9	True	miR-203	MIR203A	miRNA	miRNA
ENSG00000106799	9	True	TGFBR1	TGFBR1	protein_coding	protein_coding
ENSG00000233101	9	True	HOXB-AS3	HOXB-AS3	lncRNA	lncRNA
ENSG00000234883	9	True	MIR155HG	MIR155HG	lncRNA	lncRNA
ENSG00000284112	9	True	miR-195	MIR195	miRNA	miRNA
ENSG00000207568	9	True	miR-203	MIR203A	miRNA	miRNA
ENSG00000114315	9	True	HES1	HES1	transcription_factor	transcription_factor
ENSG00000231721	9	True	LINC-PINT	LINC-PINT	lncRNA	lncRNA
ENSG00000115415	9	True	STAT1	STAT1	transcription_factor	transcription_factor
ENSG00000258791	9	True	LINC00520	LINC00520	lncRNA	lncRNA
ENSG00000236830	9	True	CBR3-AS1	CBR3-AS1	lncRNA	lncRNA
ENSG00000173039	9	True	RELA	RELA	transcription_factor	transcription_factor
ENSG00000136826	9	True	KLF4	KLF4	transcription_factor	transcription_factor
ENSG00000198176	8	True	TFDP1	TFDP1	lncRNA	protein_coding
ENSG00000245750	8	True	PCAT29	DRAIC	lncRNA	lncRNA
ENSG00000125084	8	True	WNT1	WNT1	protein_coding	protein_coding
ENSG00000207730	8	True	miR-200b	MIR200B	miRNA	miRNA
ENSG00000070831	8	True	CDC42	CDC42	protein_coding	protein_coding
ENSG00000207607	8	True	miR-200a	MIR200A	miRNA	miRNA
ENSG00000229980	8	True	TOB1-AS1	TOB1-AS1	lncRNA	lncRNA
ENSG00000138685	8	True	FGF2	FGF2	protein_coding	protein_coding
ENSG00000123908	8	True	AGO2	AGO2	lncRNA	protein_coding
ENSG00000169047	8	True	IRS1	IRS1	protein_coding	protein_coding
ENSG00000137745	8	True	MMP13	MMP13	protein_coding	protein_coding
ENSG00000249550	8	True	LINC01234	LINC01234	lncRNA	lncRNA
ENSG00000165819	8	True	METTL3	METTL3	protein_coding	protein_coding
ENSG00000165819	8	True	METTL3	METTL3	lncRNA	protein_coding
ENSG00000227640	8	True	SOX21-AS1	SOX21-AS1	lncRNA	lncRNA
ENSG00000123908	8	True	AGO2	AGO2	protein_coding	protein_coding
ENSG00000143384	8	True	MCL1	MCL1	protein_coding	protein_coding
ENSG00000207983	8	True	miR-613	MIR613	miRNA	miRNA
ENSG00000226856	8	True	THORLNC	THORLNC	lncRNA	lncRNA
ENSG00000131023	8	True	LATS1	LATS1	protein_coding	protein_coding
ENSG00000167117	8	True	ANKRD40CL	ANKRD40CL	lncRNA	protein_coding
ENSG00000197548	8	True	ATG7	ATG7	protein_coding	protein_coding
ENSG00000159217	8	True	IGF2BP1	IGF2BP1	protein_coding	protein_coding
ENSG00000250742	8	True	LINC02381	LINC02381	lncRNA	lncRNA
ENSG00000281183	8	True	NPTN-IT1	NPTN-IT1	lncRNA	lncRNA
ENSG00000131914	8	True	LIN28A	LIN28A	transcription_factor	transcription_factor
ENSG00000204054	8	True	LINC00963	LINC00963	lncRNA	lncRNA
ENSG00000215458	8	True	AATBC	AATBC	lncRNA	lncRNA
ENSG00000263429	8	True	TMEM238L	TMEM238L	lncRNA	protein_coding
ENSG00000276365	8	True	miR-145	MIR145	miRNA	miRNA
ENSG00000207705	8	True	miR-129-5p	MIR129-1	miRNA	miRNA
ENSG00000284321	8	True	miR-124	MIR124-1	miRNA	miRNA
ENSG00000212766	8	True	EWSAT1	EWSAT1	lncRNA	lncRNA
ENSG00000017427	8	True	IGF1	IGF1	protein_coding	protein_coding
ENSG00000231210	8	True	COMETT	COMETT	lncRNA	lncRNA
ENSG00000129351	8	True	ILF3	ILF3	protein_coding	protein_coding
ENSG00000035862	8	True	TIMP2	TIMP2	protein_coding	protein_coding
ENSG00000073792	8	True	IGF2BP2	IGF2BP2	protein_coding	protein_coding
ENSG00000141646	8	True	SMAD4	SMAD4	transcription_factor	transcription_factor
ENSG00000139687	8	True	RB1	RB1	protein_coding	protein_coding
ENSG00000132906	8	True	Caspase9	CASP9	protein_coding	protein_coding
ENSG00000123374	8	True	CDK2	CDK2	protein_coding	protein_coding
ENSG00000136238	8	True	RAC1	RAC1	protein_coding	protein_coding
ENSG00000007968	8	True	E2F2	E2F2	transcription_factor	transcription_factor
ENSG00000259321	8	True	RP11-468E2.5	ENSG00000259321	lncRNA	lncRNA
ENSG00000118689	8	True	FOXO3	FOXO3	transcription_factor	transcription_factor
ENSG00000132906	8	True	CASP9	CASP9	protein_coding	protein_coding
ENSG00000111704	8	True	NANOG	NANOG	transcription_factor	transcription_factor
ENSG00000106031	8	True	XLOC_006390	HOXA13	lncRNA	protein_coding
ENSG00000207604	7	True	miR-206	MIR206	miRNA	miRNA
ENSG00000172965	7	True	AWPPH	MIR4435-2HG	lncRNA	lncRNA
ENSG00000075618	7	True	FSCN1	FSCN1	protein_coding	protein_coding
ENSG00000117020	7	True	AKT3	AKT3	protein_coding	protein_coding
ENSG00000162711	7	True	NLRP3	NLRP3	protein_coding	protein_coding
ENSG00000207713	7	True	miR-200c	MIR200C	miRNA	miRNA
ENSG00000250786	7	True	SNHG18	SNHG18	lncRNA	lncRNA
ENSG00000077782	7	True	FGFR1	FGFR1	protein_coding	protein_coding
ENSG00000067560	7	True	RHOA	RHOA	protein_coding	protein_coding
ENSG00000012048	7	True	BRCA1	BRCA1	protein_coding	protein_coding
ENSG00000108654	7	True	DDX5	DDX5	protein_coding	protein_coding
ENSG00000275874	7	True	PICSAR	PICSAR	lncRNA	lncRNA
ENSG00000230061	7	True	TRPM2-AS	TRPM2-AS	lncRNA	lncRNA
ENSG00000165119	7	True	HNRNPK	HNRNPK	protein_coding	protein_coding
	7	True	XLOC_006753		lncRNA	
ENSG00000115414	7	True	FN1	FN1	protein_coding	protein_coding
NCBI114004396	7	True	ATB	LNCRNA-ATB	lncRNA	lncRNA
ENSG00000283785	7	True	MIR15A	MIR15A	miRNA	miRNA
ENSG00000136450	7	True	SRSF1	SRSF1	protein_coding	protein_coding
ENSG00000047457	7	True	AB073614	CP	lncRNA	protein_coding
ENSG00000262904	7	True	TMPOP2	TMPOP2	lncRNA	processed_pseudogene
	7	True	Giver		lncRNA	
ENSG00000118260	7	True	CREB1	CREB1	transcription_factor	transcription_factor
ENSG00000221819	7	True	GAS8-AS1	GAS8-AS1	lncRNA	lncRNA
ENSG00000107984	7	True	DKK1	DKK1	protein_coding	protein_coding
ENSG00000207926	7	True	miR-135a	MIR135A1	miRNA	miRNA
ENSG00000224271	7	True	EPIC1	EPIC1	lncRNA	lncRNA
ENSG00000092969	7	True	TGFB2	TGFB2	protein_coding	protein_coding
ENSG00000238266	7	True	LINC00707	LINC00707	lncRNA	lncRNA
ENSG00000158773	7	True	USF1	USF1	transcription_factor	transcription_factor
ENSG00000134318	7	True	ROCK2	ROCK2	protein_coding	protein_coding
	7	True	ENST		lncRNA	
ENSG00000142208	7	True	p-AKT	AKT1	protein_coding	protein_coding
ENSG00000126767	7	True	ELK1	ELK1	transcription_factor	transcription_factor
ENSG00000120738	7	True	EGR1	EGR1	transcription_factor	transcription_factor
ENSG00000163374	7	True	YY1AP1	YY1AP1	protein_coding	protein_coding
ENSG00000245750	7	True	DRAIC	DRAIC	lncRNA	lncRNA
ENSG00000180139	7	True	ACTA2-AS1	ACTA2-AS1	lncRNA	lncRNA
ENSG00000134333	7	True	LDHA	LDHA	protein_coding	protein_coding
ENSG00000259527	7	True	LINC00052	LINC00052	lncRNA	lncRNA
ENSG00000150093	7	True	ITGB1	ITGB1	protein_coding	protein_coding
ENSG00000241749	7	True	RPSAP52	RPSAP52	lncRNA	transcribed_processed_pseudogene
ENSG00000260105	7	True	AOC4P	AOC4P	lncRNA	transcribed_unprocessed_pseudogene
NCBI112543491	7	True	linc-UFC1	LOC112543491	lncRNA	lncRNA
ENSG00000208017	7	True	miR-140-5p	MIR140	miRNA	miRNA
ENSG00000152256	7	True	PDK1	PDK1	protein_coding	protein_coding
ENSG00000183242	7	True	WT1-AS	WT1-AS	lncRNA	lncRNA
