gene_id	entrez_id	gene_name_lnctard	gene_type_lnctard	gene_name_gencode	gene_type_gencode	gene_name_homosapiens	gene_type_homosapiens
ENSG00000177640	255082	CASC2	lncRNA			CASC2	lncRNA
ENSG00000090447	7023	TFAP4	TF			TFAP4	protein_coding
ENSG00000247556	729082	OIP5-AS1	lncRNA	OIP5-AS1	lncRNA	OIP5-AS1	lncRNA
ENSG00000229807	7503	XIST	lncRNA			XIST	lncRNA
ENSG00000281560	101234261	LSINCT5	lncRNA	LSINCT5	lncRNA	LSINCT5	lncRNA
		PCSEAT	lncRNA				
ENSG00000269821	10984	KCNQ1OT1	lncRNA	KCNQ1OT1	lncRNA	KCNQ1OT1	lncRNA
		linc-UFC1	lncRNA				
ENSG00000233016	84973	SNHG7	lncRNA	SNHG7	lncRNA	SNHG7	lncRNA
ENSG00000214049	652995	UCA1	lncRNA	UCA1	lncRNA	UCA1	lncRNA
ENSG00000268388	400550	FENDRR	lncRNA	FENDRR	lncRNA	FENDRR	lncRNA
ENSG00000236824	618	BCYRN1	lncRNA	BCYRN1	scRNA	BCYRN1	scRNA
ENSG00000262117	400500	BCAR4	lncRNA	BCAR4	lncRNA	BCAR4	lncRNA
ENSG00000281406	101669762	BLACAT1	lncRNA	BLACAT1	protein_coding	BLACAT1	protein_coding
ENSG00000141510	7157	TP53	TF			TP53	protein_coding
		miR-21	miRNA				
ENSG00000259758		CASC7	lncRNA				
ENSG00000246228	727677	CASC8	lncRNA	CASC8	lncRNA	CASC8	lncRNA
ENSG00000249395	101805492	CASC9	lncRNA	CASC9	lncRNA	CASC9	lncRNA
		CAT104	lncRNA				
ENSG00000280997	101805488	CCAT2	lncRNA	CCAT2	lncRNA	CCAT2	lncRNA
ENSG00000233532	728192	LINC00460	lncRNA	LINC00460	lncRNA	LINC00460	lncRNA
ENSG00000188660	284836	LINC00319	lncRNA	LINC00319	lncRNA	LINC00319	lncRNA
ENSG00000130600	283120	H19	lncRNA			H19	lncRNA
ENSG00000285219	728655	HULC	lncRNA	HULC	lncRNA	HULC	lncRNA
ENSG00000253552	285943	HOXA-AS2	lncRNA	HOXA-AS2	lncRNA	HOXA-AS2	lncRNA
ENSG00000231210	100996266	LINC01510	lncRNA	COMETT	lncRNA	COMETT	lncRNA
ENSG00000163597	100507246	SNHG16	lncRNA			SNHG16	lncRNA
ENSG00000224057	100507500	EGFR-AS1	lncRNA	EGFR-AS1	lncRNA	EGFR-AS1	lncRNA
ENSG00000237517	26220	DGCR5	lncRNA			CELSR1P1	transcribed_unprocessed_pseudogene
	100750247	HIF1A-AS2	lncRNA				
ENSG00000245910	641638	SNHG6	lncRNA	SNHG6	lncRNA	SNHG6	lncRNA
ENST00000651138	728196	LOC728196	lncRNA				
ENSG00000259527	145978	LINC00052	lncRNA	LINC00052	lncRNA	LINC00052	lncRNA
	100302650	BABAM2-AS1	lncRNA				
ENSG00000253661	100192378	ZFHX4-AS1	lncRNA	ZFHX4-AS1	lncRNA	ZFHX4-AS1	lncRNA
ENSG00000243836	100131176	WDR86-AS1	lncRNA	WDR86-AS1	lncRNA	WDR86-AS1	lncRNA
ENSG00000240498	100048912	CDKN2B-AS1	lncRNA	CDKN2B-AS1	lncRNA	CDKN2B-AS1	lncRNA
ENSG00000260032	647979	NORAD	lncRNA	NORAD	lncRNA	NORAD	lncRNA
ENSG00000236289	104797537	GACAT3	lncRNA	GACAT3	lncRNA	GACAT3	lncRNA
		GClnc1	lncRNA				
ENSG00000237036	220930	ZEB1-AS1	lncRNA	ZEB1-AS1	lncRNA	ZEB1-AS1	lncRNA
ENSG00000249073	105664404	WSPAR	lncRNA	WSPAR	lncRNA	WSPAR	lncRNA
ENSG00000236427		AL589986.2	lncRNA	CCDST	lncRNA	CCDST	lncRNA
ENSG00000249082	101927953	C5orf66-AS1	lncRNA	EPIST	lncRNA	EPIST	lncRNA
ENSG00000241684	100507098	ADAMTS9-AS2	lncRNA	ADAMTS9-AS2	lncRNA	ADAMTS9-AS2	lncRNA
ENSG00000233237	79940	LINC00472	lncRNA	LINC00472	lncRNA	LINC00472	lncRNA
		snaR	lncRNA				
ENSG00000272620	84740	AFAP1-AS1	lncRNA	AFAP1-AS1	lncRNA	AFAP1-AS1	lncRNA
ENSG00000281398	724102	SNHG4	lncRNA	SNHG4	lncRNA	SNHG4	lncRNA
ENSG00000233901	100506119	LINC01503	lncRNA	LINC01503	lncRNA	LINC01503	lncRNA
ENSG00000261824	148189	LINC00662	lncRNA	LINC00662	lncRNA	LINC00662	lncRNA
ENSG00000237949	100507008	LINC00844	lncRNA	LINC00844	lncRNA	LINC00844	lncRNA
ENSG00000255733	100885789	IFNG-AS1	lncRNA	IFNG-AS1	lncRNA	IFNG-AS1	lncRNA
ENSG00000169083	367	AR	TF			AR	protein_coding
ENSG00000172216	1051	CEBPB	TF	CEBPB	protein_coding	CEBPB	protein_coding
ENSG00000238266	100507127	LINC00707	lncRNA	LINC00707	lncRNA	LINC00707	lncRNA
ENSG00000203497	282997	PDCD4-AS1	lncRNA	PDCD4-AS1	lncRNA	PDCD4-AS1	lncRNA
ENSG00000233098	440416	CCDC144NL-AS1	lncRNA			CCDC144NL-AS1	lncRNA
ENSG00000172965	541471	MIR4435-2HG	lncRNA			MIR4435-2HG	lncRNA
ENSG00000238133	339751	MAP3K20-AS1	lncRNA	MAP3K20-AS1	lncRNA	MAP3K20-AS1	lncRNA
ENSG00000148516	6935	ZEB1	TF			ZEB1	protein_coding
ENSG00000168610	6774	STAT3	TF			STAT3	protein_coding
ENSG00000248323	100505994	LUCAT1	lncRNA	LUCAT1	lncRNA	LUCAT1	lncRNA
ENSG00000285972	642934	CERNA2	lncRNA	CERNA2	lncRNA	CERNA2	lncRNA
ENSG00000233639	100506421	PANTR1	lncRNA	PANTR1	lncRNA	PANTR1	lncRNA
ENSG00000236452		AC123023.1	lncRNA	ENSG00000236452	lncRNA		lncRNA
ENSG00000249669	728264	CARMN	lncRNA			CARMN	lncRNA
ENSG00000245573	497258	BDNF-AS	lncRNA	BDNF-AS	lncRNA	BDNF-AS	lncRNA
ENSG00000260455	729177	NBAT1	lncRNA	NBAT1	lncRNA	NBAT1	lncRNA
ENSG00000125398	6662	SOX9	TF	SOX9	protein_coding	SOX9	protein_coding
ENSG00000237424	84793	FOXD2-AS1	lncRNA	FOXD2-AS1	lncRNA	FOXD2-AS1	lncRNA
ENSG00000099869	51214	IGF2-AS	lncRNA	IGF2-AS	lncRNA	IGF2-AS	lncRNA
ENSG00000280634	102659353	THRIL	lncRNA	THRIL	lncRNA	THRIL	lncRNA
ENSG00000241388	283460	HNF1A-AS1	lncRNA	HNF1A-AS1	lncRNA	HNF1A-AS1	lncRNA
ENSG00000088340	80307	FER1L4	lncRNA			FER1L4	transcribed_unitary_pseudogene
ENSG00000198468	642946	FLVCR1-DT	lncRNA			FLVCR1-DT	lncRNA
ENSG00000225756	138948	DBH-AS1	lncRNA	DBH-AS1	lncRNA	DBH-AS1	lncRNA
ENSG00000177272		kcna3	lncRNA			KCNA3	protein_coding
ENSG00000223414	90632	LINC00473	lncRNA				
ENSG00000236859	254128	NIFK-AS1	lncRNA	NIFK-AS1	lncRNA	NIFK-AS1	lncRNA
ENSG00000228126	100874054	FALEC	lncRNA	FALEC	lncRNA	FALEC	lncRNA
ENSG00000253230	157627	LINC00599	lncRNA			MIR124-1HG	lncRNA
		miR-182-5p	miRNA				
ENSG00000242808	347689	SOX2-OT	lncRNA			SOX2-OT	lncRNA
ENSG00000261373	100128881	VPS9D1-AS1	lncRNA	VPS9D1-AS1	lncRNA	VPS9D1-AS1	lncRNA
ENSG00000253187	100874323	HOXA10-AS	lncRNA	HOXA10-AS	lncRNA	HOXA10-AS	lncRNA
ENSG00000233387	101929447	IATPR	lncRNA	IATPR	lncRNA	IATPR	lncRNA
ENSG00000269900	6023	RMRP	lncRNA				
ENSG00000280055	641384	TMEM75	lncRNA	LINC02912	lncRNA	LINC02912	lncRNA
ENSG00000248257	653492	PSG10P	lncRNA	PSG10P	transcribed_unprocessed_pseudogene	PSG10P	transcribed_unprocessed_pseudogene
ENSG00000271672	503637	DUXAP8	lncRNA	DUXAP8	transcribed_processed_pseudogene	DUXAP8	transcribed_processed_pseudogene
ENSG00000235387		LINC00961	lncRNA	SPAAR	protein_coding	SPAAR	protein_coding
ENSG00000231764	285987	DLX6-AS1	lncRNA			DLX6-AS1	lncRNA
ENSG00000120738	1958	EGR1	TF	EGR1	protein_coding	EGR1	protein_coding
ENSG00000214293	100505854	APTR	lncRNA			APTR	lncRNA
ENSG00000224271		Lnc-EPIC1	lncRNA	EPIC1	lncRNA	EPIC1	lncRNA
ENSG00000243479	645249	MNX1-AS1	lncRNA	MNX1-AS1	lncRNA	MNX1-AS1	lncRNA
ENSG00000251151	100874365	HOXC-AS3	lncRNA	HOXC-AS3	lncRNA	HOXC-AS3	lncRNA
		miR-212	miRNA				
		UBE2CP3-001	lncRNA				
ENSG00000213453	2498	FTH1P3	lncRNA	FTH1P3	processed_pseudogene	FTH1P3	processed_pseudogene
ENST00000400831		LOC441178	lncRNA				
ENSG00000111206	2305	FOXM1	TF			FOXM1	protein_coding
ENSG00000253301	100507651	LINC01606	lncRNA	LINC01606	lncRNA	LINC01606	lncRNA
ENSG00000224078	104472715	SNHG14	lncRNA			SNHG14	lncRNA
		uc003fir	lncRNA				
ENSG00000261488	112806053	TBILA	lncRNA	TBILA	lncRNA	TBILA	lncRNA
	108868751	GSC-DT	lncRNA				
ENSG00000253563	100506237	NKX2-1-AS1	lncRNA	NKX2-1-AS1	lncRNA	NKX2-1-AS1	lncRNA
ENSG00000122691	7291	TWIST1	TF			TWIST1	protein_coding
ENSG00000225210	503638	DUXAP9	lncRNA			DUXAP9	transcribed_processed_pseudogene
ENSG00000232956	285958	SNHG15	lncRNA			SNHG15	lncRNA
ENSG00000269893	100093630	SNHG8	lncRNA			SNHG8	lncRNA
ENSG00000258609	100885779	LINC-ROR	lncRNA	LINC-ROR	lncRNA	LINC-ROR	lncRNA
		LncND	lncRNA				
	102800311	TP53COR1	lncRNA				
ENSG00000233429	100506311	HOTAIRM1	lncRNA	HOTAIRM1	lncRNA	HOTAIRM1	lncRNA
ENSG00000177410	441951	ZFAS1	lncRNA			ZFAS1	lncRNA
ENSG00000152931	25859	PART1	lncRNA	PART1	lncRNA	PART1	lncRNA
ENSG00000230798	100996301	FOXD3-AS1	lncRNA	FOXD3-AS1	lncRNA	FOXD3-AS1	lncRNA
		cir-GLI2	circRNA				
ENSG00000237984	11191	PTENP1	lncRNA	PTENP1	transcribed_processed_pseudogene	PTENP1	transcribed_processed_pseudogene
ENSG00000225937	50652	PCA3	lncRNA	PCA3	lncRNA	PCA3	lncRNA
		circGFRA1	circRNA				
ENSG00000257242	256021	LINC01619	lncRNA	LINC01619	lncRNA	LINC01619	lncRNA
ENSG00000243197	285194	TUSC7	lncRNA	TUSC7	lncRNA	TUSC7	lncRNA
ENSG00000167117		LINC00483	lncRNA			ANKRD40CL	protein_coding
ENSG00000244306	503639	DUXAP10	lncRNA			DUXAP10	transcribed_processed_pseudogene
ENSG00000215808	339535	LINC01139	lncRNA	LINC01139	lncRNA	LINC01139	lncRNA
ENSG00000234912	654434	SNHG20	lncRNA			SNHG20	lncRNA
ENSG00000180769		WDFY3-AS2	lncRNA			WDFY3-AS2	lncRNA
ENSG00000205628	401337	LINC01446	lncRNA	LINC01446	lncRNA	LINC01446	lncRNA
ENSG00000245849	100505648	RAD51-AS1	lncRNA	RAD51-AS1	lncRNA	RAD51-AS1	lncRNA
ENSG00000232803	100127888	SLCO4A1-AS1	lncRNA	SLCO4A1-AS1	lncRNA	SLCO4A1-AS1	lncRNA
ENSG00000141646	7040	SMAD4	protein_coding			SMAD4	protein_coding
		lncR-D63785	lncRNA				
ENSG00000240990	221883	HOXA11-AS	lncRNA			HOXA11-AS	lncRNA
ENSG00000253414	100507420	LINC01605	lncRNA	LINC01605	lncRNA	LINC01605	lncRNA
ENSG00000229637		HOXB13-AS1	lncRNA	PRAC2	protein_coding	PRAC2	protein_coding
ENSG00000261410		RP11-543N12.1	lncRNA	CDH13-AS1	lncRNA	CDH13-AS1	lncRNA
ENSG00000050165		CRRL	lncRNA			DKK3	protein_coding
ENST00000589379		lncRNA-ECM	lncRNA				
ENSG00000225470	554203	JPX	lncRNA	JPX	lncRNA	JPX	lncRNA
ENSG00000255737	100130776	AGAP2-AS1	lncRNA	AGAP2-AS1	lncRNA	AGAP2-AS1	lncRNA
ENSG00000226950	282	ANCR	lncRNA	DANCR	lncRNA	DANCR	lncRNA
		RP11-79H23.3	lncRNA				
ENSG00000223573	257000	TINCR	lncRNA	TINCR	protein_coding	TINCR	protein_coding
ENSG00000176124	10301	DLEU1	lncRNA			DLEU1	lncRNA
ENSG00000101412	1869	E2F1	TF			E2F1	protein_coding
ENSG00000130816	1786	DNMT1	protein_coding			DNMT1	protein_coding
ENST00000522875		PVT1-214	lncRNA				
ENSG00000254588	101929517	ETS1-AS1	lncRNA	ETS1-AS1	lncRNA	ETS1-AS1	lncRNA
ENSG00000221819	750	GAS8-AS1	lncRNA	GAS8-AS1	lncRNA	GAS8-AS1	lncRNA
ENSG00000100644	3091	HIF1A	TF			HIF1A	protein_coding
ENSG00000078399	3205	HOXA9	TF			HOXA9	protein_coding
	100642175	SPRY4-IT1	lncRNA				
		LNC00312	lncRNA				
ENST00000641263		MYCNOS-01	lncRNA				
ENSG00000135100	6927	HNF1A	TF			HNF1A	protein_coding
ENSG00000259974	140828	LINC00261	lncRNA	LINC00261	lncRNA	LINC00261	lncRNA
ENSG00000239213	101927597	NCK1-DT	lncRNA	NCK1-DT	lncRNA	NCK1-DT	lncRNA
ENSG00000255920	103752584	CCND2-AS1	lncRNA	CCND2-AS1	lncRNA	CCND2-AS1	lncRNA
		BG981369	lncRNA				
ENSG00000231721	378805	LINC-PINT	lncRNA	LINC-PINT	lncRNA	LINC-PINT	lncRNA
		XLOC_008466	lncRNA				
		AF119895	lncRNA				
		XLOC_000647	lncRNA				
ENSG00000105974	857	CAV1	protein_coding			CAV1	protein_coding
ENSG00000237125	79804	HAND2-AS1	lncRNA			HAND2-AS1	lncRNA
ENSG00000278709	105416157	NKILA	lncRNA	NKILA	lncRNA	NKILA	lncRNA
		PVT1-5	lncRNA				
ENSG00000237819	101927497	LOC101927497	lncRNA	CDK6-AS1	lncRNA	CDK6-AS1	lncRNA
ENSG00000226363	102800310	HAGLROS	lncRNA	HAGLROS	lncRNA	HAGLROS	lncRNA
ENSG00000196421		LINC00176	lncRNA	C20orf204	protein_coding	C20orf204	protein_coding
ENSG00000136997	4609	MYC	TF			MYC	protein_coding
ENSG00000133703	3845	KRAS	protein_coding			KRAS	protein_coding
		miR-196a	miRNA				
ENSG00000280837	29034	CPS1-IT1	lncRNA	CPS1-IT1	lncRNA	CPS1-IT1	lncRNA
		AB073614	lncRNA				
ENSG00000263429	100289255	TMEM238L	lncRNA	TMEM238L	protein_coding	TMEM238L	protein_coding
ENSG00000183674	221718	LINC00518	lncRNA			LINC00518	lncRNA
ENSG00000250266		RP11-789C1.1	lncRNA	LINC01612	lncRNA	LINC01612	lncRNA
ENSG00000227418	64002	protein_codingEM1	lncRNA	protein_codingEM1	lncRNA	protein_codingEM1	lncRNA
ENSG00000227751	114515514	RCC2-AS1	lncRNA	RCC2-AS1	lncRNA	RCC2-AS1	lncRNA
ENSG00000205054	400952	LINC01121	lncRNA	LINC01121	lncRNA	LINC01121	lncRNA
ENSG00000255986	4498	MT1JP	lncRNA	MT1JP	transcribed_unprocessed_pseudogene	MT1JP	transcribed_unprocessed_pseudogene
ENSG00000280693	100505839	SH3PXD2A-AS1	lncRNA	SH3PXD2A-AS1	lncRNA	SH3PXD2A-AS1	lncRNA
		LNCDQ	lncRNA				
		EPEL	lncRNA				
		miR-548k	miRNA				
ENSG00000282851	105221694	BISPR	lncRNA	BISPR	lncRNA	BISPR	lncRNA
ENSG00000258451		Lnc-EGFR	lncRNA	EGILA	lncRNA	EGILA	lncRNA
ENSG00000257241		AC078922.1	lncRNA	ENSG00000257241	lncRNA		lncRNA
		RP11-317J10.2	lncRNA				
ENSG00000231806	101928099	PCAT7	lncRNA	PCAT7	lncRNA	PCAT7	lncRNA
ENSG00000281183	101241892	NPTN-IT1	lncRNA	NPTN-IT1	lncRNA	NPTN-IT1	lncRNA
ENSG00000235082	474338	SUMO1P3	lncRNA	SUMO1P3	processed_pseudogene	SUMO1P3	processed_pseudogene
ENSG00000101115	57167	SALL4	TF			SALL4	protein_coding
		uc.38	lncRNA				
ENSG00000247095	100506211	MIR210HG	lncRNA	MIR210HG	lncRNA	MIR210HG	lncRNA
ENSG00000278910	100885775	BANCR	lncRNA	BANCR	lncRNA	BANCR	lncRNA
ENSG00000259104	100886964	PTCSC3	lncRNA	PTCSC3	lncRNA	PTCSC3	lncRNA
ENSG00000233086	112577459	LNCARSR	lncRNA	LNCARSR	lncRNA	LNCARSR	lncRNA
		Lnc-BM	lncRNA				
ENSG00000184937	7490	WT1	TF			WT1	protein_coding
		lncHERG	lncRNA				
ENSG00000267100	147727	ILF3-DT	lncRNA	ILF3-DT	lncRNA	ILF3-DT	lncRNA
ENSG00000181449	6657	SOX2	TF	SOX2	protein_coding	SOX2	protein_coding
ENSG00000253438	100750225	PCAT1	lncRNA	PCAT1	lncRNA	PCAT1	lncRNA
ENSG00000204054	100506190	LINC00963	lncRNA			LINC00963	lncRNA
ENSG00000100811	7528	YY1	TF			YY1	protein_coding
ENSG00000279192	8123	PWAR5	lncRNA	PWAR5	TEC	PWAR5	TEC
ENSG00000261347		AP000439.3	lncRNA	ENSG00000261347	lncRNA		lncRNA
ENSG00000205361	326343	MT1DP	lncRNA			MT1DP	transcribed_unprocessed_pseudogene
ENSG00000105618		RP11-436H11.5	lncRNA			PRPF31	protein_coding
ENSG00000196756	388796	SNHG17	lncRNA			SNHG17	lncRNA
ENSG00000233392		UICLM	lncRNA	UICLM	lncRNA	UICLM	lncRNA
		Lnc-Myd88	lncRNA				
ENSG00000260944	103752587	FOXC2-AS1	lncRNA	FOXC2-AS1	lncRNA	FOXC2-AS1	lncRNA
ENSG00000281189	102723099	GHET1	lncRNA	GHET1	lncRNA	GHET1	lncRNA
ENSG00000248690	594842	HAS2-AS1	lncRNA	HAS2-AS1	lncRNA	HAS2-AS1	lncRNA
		IGFBP4-1	lncRNA				
ENSG00000286532	100630918	PARTICL	lncRNA	PARTICL	lncRNA	PARTICL	lncRNA
ENSG00000235026		DPP10-AS1	lncRNA	DPP10-AS1	lncRNA	DPP10-AS1	lncRNA
ENSG00000231265	100887755	TRERNA1	lncRNA	TRERNA1	lncRNA	TRERNA1	lncRNA
		MVIH	lncRNA				
ENST00000460407		LncRNA-SARCC	lncRNA				
ENSG00000228223	493812	HCG11	lncRNA	HCG11	lncRNA	HCG11	lncRNA
ENSG00000106004	3202	HOXA5	TF	HOXA5	protein_coding	HOXA5	protein_coding
		RP11-713B9.1	lncRNA				
ENSG00000242125	8420	SNHG3	lncRNA	SNHG3	lncRNA	SNHG3	lncRNA
		LOC90784	lncRNA				
ENSG00000225969	171022	ABHD11-AS1	lncRNA	BICDL3P	transcribed_unitary_pseudogene	BICDL3P	transcribed_unitary_pseudogene
ENSG00000245526	645323	LINC00461	lncRNA			LINC00461	lncRNA
ENSG00000237331	106480735	XIAP-AS1	lncRNA	XIAP-AS1	lncRNA	XIAP-AS1	lncRNA
ENSG00000178947		LINC0086	lncRNA	SMIM10L2A	protein_coding	SMIM10L2A	protein_coding
ENSG00000265933	400643	LINC00668	lncRNA	LINC00668	lncRNA	LINC00668	lncRNA
ENSG00000230550	101929441	ERLNC1	lncRNA	ERLNC1	lncRNA	ERLNC1	lncRNA
		LL22NC03-N64E9.1	lncRNA				
ENSG00000227036	100499467	LINC00673	lncRNA			LINC00511	lncRNA
	105682749	CCEPR	lncRNA				
ENSG00000232554	100133308	RSU1P2	lncRNA			RSU1P2	transcribed_unprocessed_pseudogene
ENSG00000115934		lnc-Sox5	lncRNA			LINC02566	lncRNA
ENSG00000106031		XLOC_006390	lncRNA	HOXA13	protein_coding	HOXA13	protein_coding
		RP11-169D4.1	lncRNA				
	29931	LINC00312	lncRNA				
ENSG00000070495	23210	JMJD6	TF			JMJD6	protein_coding
ENSG00000255248	399959	MIR100HG	lncRNA			MIR100HG	lncRNA
ENSG00000141448	2627	GATA6	TF			GATA6	protein_coding
		miR-215	miRNA				
ENSG00000231426	100132735	FILNC1	lncRNA	FILNC1	lncRNA	FILNC1	lncRNA
ENSG00000171658	344887	NMRAL2P	lncRNA	NMRAL2P	transcribed_unprocessed_pseudogene	NMRAL2P	transcribed_unprocessed_pseudogene
ENSG00000259498	111064646	TPM1-AS	lncRNA	TPM1-AS	lncRNA	TPM1-AS	lncRNA
ENSG00000250410		RP11-714G18.1	lncRNA	LRP2BP-AS1	lncRNA	LRP2BP-AS1	lncRNA
ENSG00000251381	100506305	LINC00958	lncRNA	LINC00958	lncRNA	LINC00958	lncRNA
ENSG00000185104		FAF1	lncRNA			FAF1	protein_coding
ENSG00000281131	101669767	SCHLAP1	lncRNA	SCHLAP1	lncRNA	SCHLAP1	lncRNA
ENSG00000269386	100507567	RAB11B-AS1	lncRNA	RAB11B-AS1	lncRNA	RAB11B-AS1	lncRNA
	101927525	COL1A2-AS1	lncRNA				
ENSG00000231160	79667	KLF3-AS1	lncRNA			KLF3-AS1	lncRNA
ENSG00000226806	100507600	LOC100507600	lncRNA	LCT-AS1	lncRNA	LCT-AS1	lncRNA
ENSG00000266835	100505592	GAPLINC	lncRNA	GAPLINC	lncRNA	GAPLINC	lncRNA
ENSG00000227375	100507086	DLG1-AS1	lncRNA	DLG1-AS1	lncRNA	DLG1-AS1	lncRNA
ENSG00000260583	282566	LINC00515	lncRNA	ENSG00000260583	lncRNA		lncRNA
ENSG00000283440	79015	LINC01260	lncRNA	LINC01260	lncRNA	LINC01260	lncRNA
ENSG00000245213	101930370	LOC101930370	lncRNA	GALNT7-DT	lncRNA	GALNT7-DT	lncRNA
	103611090	CDR1-AS	circRNA				
ENSG00000280916	101927703	FOXCUT	lncRNA	FOXCUT	lncRNA	FOXCUT	lncRNA
ENSG00000282977	102157401	PCBP2-OT1	lncRNA	PCBP2-OT1	lncRNA	PCBP2-OT1	lncRNA
ENSG00000105329	7040	TGFB1	protein_coding			TGFB1	protein_coding
ENSG00000261183	102724362	SPINT1-AS1	lncRNA	SPINT1-AS1	lncRNA	SPINT1-AS1	lncRNA
ENSG00000177640		CASC2c	lncRNA			CASC2	lncRNA
		miR-103	miRNA				
ENSG00000213290	5233	PGK1P2	lncRNA	PGK1P2	processed_pseudogene	PGK1P2	processed_pseudogene
		NONHSAG045500	lncRNA				
ENSG00000261801	100287616	LOXL1-AS1	lncRNA	LOXL1-AS1	lncRNA	LOXL1-AS1	lncRNA
ENST00000560655	104472713	PCAT29	lncRNA				
ENSG00000281880	103157000	PAUPAR	lncRNA	PAUPAR	lncRNA	PAUPAR	lncRNA
ENSG00000274020	388685	LINC01138	lncRNA	LINC01138	lncRNA	LINC01138	lncRNA
ENSG00000228612	642546	HK2P1	lncRNA	HK2P1	processed_pseudogene	HK2P1	processed_pseudogene
		ENST00113	lncRNA				
ENSG00000180867	171423	PDIA3P1	lncRNA			PDIA3P1	transcribed_processed_pseudogene
		miR-122	miRNA				
		miR-204	miRNA				
ENSG00000131914	79727	LIN28A	TF			LIN28A	protein_coding
		EBF3-AS	lncRNA				
